NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-01533,"Stage : Dimension Inspection of Components after Machining.    Requirements : Tapping M20 x 2.5 P , Total Hole : 95 Nos.    Deviation : In one  Hole Dia observed 21.00 mm, Deep 13.00.    Vendor - PMT MACHINES LIMITED    ",AFTER MACHINING,Assembly,Minor,Closed,Yes,"Hole to be plugged, drilling and tapping to be done as per Drg subject to welding dept and Design dept. approval.",Vendor,1. shift was changed and operator left without information   2. 21mm Drill was available on machine table.  4. next shift operator fixed and start drilling.   5. inspect 1st hole and found bigger than required.,Human Error,1. Replace drill with 20mm and carried out further drilling. (rest all hole size found within limit)  2. Hole to be plugged and drilling to be done as per required size.,Workman,Repair (Rectify Partially),No,Proposed rectification is acceptable. Use seam No.: 671 for new weld,Repair Work completed,NULL,#VALUE!,2017-11-04,2018-03-21,2017-10-03,NULL,NULL,NULL,94,149
NCR-01534,"Project No. : S040401  Part No.: 7112    Stage : Dimension Inspection after Machining    Requirements : Holes 20 Nos. ø 30, Drilling should as per drawing. Surface should free from any defects.    Deviation : One tool mark observed , Size: ø 9.5 mm X Deep 9.5 .    Vendor - MARUTI ENGINEERING",AFTER MACHINING,Internals,Minor,Closed,Yes,Hole shall be build up using qualified WPS followed by NDT(LPT / UT) subject to Welding and Design dept. approval.,Vendor,1. Operator did not followed the check list.  2. Operator forgot to feed the tool offset data in CNC m/c.,Human Error,1. Sensitize vendor to take tool offset to be taken at predefine location  2. Dry run to be taken before running final program  3. Share learnings with all vendors by 15-Jul-2020,Workman,Repair (Rectify Partially),No,Proposed rectification to ensure drawing dimension is acceptable followed by NDT suggested by welding department. Use seam No. NP7194 for weld build up,Repair work completed.  Refer attached is the RCA for Details.,NULL,#VALUE!,2019-02-20,2019-07-16,2019-02-16,NULL,NULL,NULL,292,437
NCR-01536,"Item - Ring Dist. Pipes (6 Nos)    Requirement - Outside Circumference of pipe shall be 1017.2 (OD-323.8)    Actual - After bending of Pipes, Outside circumference observed from  984 to 1013. see attached Annexure for detail    Vendor - Omkar Industries.",NULL,Internals,Major,Closed,No,All 6 bend pipe shall be rejected and new pipes to be fabricated. ,Vendor,1. Lack of understanding in forming process.  2. L&T/Vendor did not envisaged the reduction in pipe OD during bending.,Dimension Control Fabrication,"1. All 6 nos pipes shall be discarded and new pipes will be fabricated and formed.  2. For new pipes, Development lengths are kept 17mm extra envisaging reduction in pipe OD during forming  3. Detailed Dimension protocol will be provided to vendor by QC to capture all the dimensions",Workman,Reject,No,Bend pipes not meeting the OD requirement shall be rejected.Please consider the same seam Nos. with suffix N for the new fabricated pipes.,"New Six, pipes are fabricated. Solution Annealing is completed. NE is completed. Dimensions are verified & result is satisfactory.",Yes,#VALUE!,2019-09-23,2019-09-26,2019-06-21,NULL,NULL,NULL,5,46
NCR-01539,Stage : Inspection After Drilling.  Part No. : 7422A    Requirements : Holes : 16 Nos. & ø 54 mm    Observation : In One Hole tool mark observed Dia of Hole : @ 70 mm  and rest 15 nos. holes are Okay.    Vendor - PMT MACHINED LTD.  ,INSPECTION AFTER DRILLING,Internals,Minor,Closed,Yes,1. Weld build up to be carried out followed by NDT subject to welding and design approval  2. Carry out WEP machining,Vendor,1. Wrong data fed by Operator (119.8 mm instead of 219.8 mm)  2. Re verification of fed value not done  3. Machine operated in auto mode with Rapid travel instead of single block mode,Vendor Mistake,1. Manual feed data shall be re-verified by Supervisor (attached M/s. PMT's revised route card)  2. Incident sharing to other vendor's as learning by 15-Jul-2020,Workman,Repair (Rectify Partially),No,Proposed rectification followed by PT examination is acceptable. Use seam No.: NP7430A,Repair Work verified & found satisfactory.  Refer attached RCA for details.,NULL,#VALUE!,2013-11-02,2014-07-23,2013-10-17,NULL,NULL,NULL,75,95
S020015-NCR-1,"Requirement: As per  the procedure No. 620_22-MF-DOC-027 R1, clause 5 Plate Shall be free from Oil, Greases and smooth. Deviation: Pitting marks observed on surface of SS430 Plates free issue from ITER INDIA after Pickling and Passivation. Refer Attached inspection Report No. IWS/PP/09/01/2019.",Visual Inspection after Pickling and Passivation,OTHERS,Minor,Closed,Yes,Smooth grinding follwed by VT & PT,Materials,Found pitting marks in Free issue material from Cutomer.,Base Material Defect,Smooth grinding follwed by VT & PT,Management,Repair ( Rectify Partially ),Yes,Remove pitting marks by smooth grinding without removal of excess parent material. Thickness of plate after smooth grinding shall be controlled not less than 39mm by intermediate checks. Pckling & Passivation of plates shall be repeated followed by LPE of the ground area.,Rework carried out as per DPED comment and found satisfactory. Pitting marks are removed by smooth grinding without removal of excess parent material. Thickness of plate after smooth grinding is ensured and it is not less than 39mm. Pckling & Passivition of plates are repeated followed by LPE of the ground area.,Yes,#VALUE!,2014-02-15,2014-04-26,2014-02-08,NULL,NULL,NULL,#VALUE!,#VALUE!
S020015-NCR-2,Project No. S020015Deviation: Refer attached deviation Files for VS8-PS2 Plates and  Bracket.  NCR No. Submitted to II/IO1)  L&T-NCR-IWS-S8-0062 ) L&T-NCR-IWS-S8-007 <div>3) L&T-NCR-IWS-S8-008</div><div>4) L&T-NCR-IWS-S8-009 </div><div>5) L&T-NCR-IWS-S8-010</div><div>6) L&T-NCR-IWS-S8-011 </div><div>7) L&T-NCR-IWS-S8-012 </div><div>8) L&T-NCR-IWS-S8-013</div><div>9) L&T-NCR-IWS-S8-014 </div><div>10) L&T-NCR-IWS-S8-015</div><div>11) L&T-NCR-IWS-S8-016</div>,Dimension inspection After Machining,OTHERS,Minor,Closed,Yes,Grinding follwed by VT & PT,Vendor,Perameter for water jet cutting not set properly.,Vendor Mistake,Smooth grinding followed by VT & PT,Management,Repair ( Rectify Partially ),Yes,"01) L&T-NCR-IWS-S8-006 – Approved ) 02) L&T-NCR-IWS-S8-007 – Approved )03) L&T-NCR-IWS-S8-008 – Approved ) - QC has to submit photograph & assembly report to close implementation of remedial action.04) L&T-NCR-IWS-S8-009 – Approved )   Based on IO’s further action on NCR, internal NCR can be commented. 05) L&T-NCR-IWS-S8-010 – Approved )06) L&T-NCR-IWS-S8-011 – Approved )07) L&T-NCR-IWS-S8-012 – Rejected – QC / Deepu to close IO comment on rejection. Afterwards, internal NCR can be concluded.08) L&T-NCR-IWS-S8-013 – Approved )09) L&T-NCR-IWS-S8-014 – Approved ) – Based on IO action on closer of first NCR from QC, internal NCR’s can be commented. 10) L&T-NCR-IWS-S8-015 – Approved )11) L&T-NCR-IWS-S8-016 – Recommended – Deepu/QC to share inspection report to evaluate effect on overall height.",,NA,#VALUE!,2014-05-29,2014-05-30,2014-04-14,NULL,NULL,NULL,#VALUE!,#VALUE!
S020015-NCR-3,Project no. S020015 (ITER-IWS) Sector no. PS-2Item no. A24-B-213 (Upper bracket)Requirement- Treaded hole of bracket shall be perpendicular to bracket surface.Observation-  Treaded hole of bracket is not perpendicular to bracket surface.,After machining,OTHERS,Minor,Closed,No,New bracket to be made,Vendor,Alignment error while starting of thread machining,Vendor Mistake,New bracket made,Management,Reject,Yes,"The part is wrongly referred in NCR. Part ID is S8-A24-B-213, which is proposed to be rejected through external NCR No. NCR/L&T/IWS/S8/I-I/008.",Component rejected,Yes,#VALUE!,2014-05-17,2014-06-28,2014-05-13,NULL,NULL,NULL,#VALUE!,#VALUE!
22137A-NCR-1,"Location of FD9 (Double sided groove) and SD5 (Single sided groove) Weld Edge Preparation for Skirt Shell Segments of Base Section Tier2 assembly as mentioned below is interchanged with respect to drawing during  machining.QMS Project No.22137A/7 - Part No.2017, Project No.22137A/8 - Part No.2018, Project No.22137A/9 - Part No.2017, Project No.22137A/10 - Part No.2018, Project No.2213711 - Part No.2017 And Project No.22137A/12 - Part No.2018",,OTHERS,Minor,Closed,Yes,WEP to be corrected and made as per drawings. Resulting shortage if any in length to be adjusted in patch plate at site.,Vendor,Two components were having simlar WEP on opposite ends as per PCR & drawing.  Vendor done machining of simlar WEPs on the same end on both components in place of opposite end inadvertantly.  Carelessness by vendors.,Vendor Mistake,"If possible, such components to be given to two different vendors for such pesudo similar components.",Management,Rework ( Complete Rectification ),Yes,"WEP FD9 and WEP SD5 will be re-machined as per drawing at Section S2-S2 and Section S3-S3 respectively. The shortfall in length of parts on Drawing No. Nu_22137A_7_BS_2017 (sheet 1), Nu_22137A_8_BS_2018 (sheet 1), Nu_22137A_9_BS_2017 (sheet 1), Nu_22137A_10_BS_2018 (sheet 1), Nu_22137A_11_BS_2017 (sheet 1), Nu_22137A_12_BS_2018 (sheet 1) will be compensated on Parts on Drawing No. Nu_22137A_7_BS_2016 (sheet 1), Nu_22137A_8_BS_2017 (sheet 1), Nu_22137A_9_BS_2016 (sheet 1), Nu_22137A_10_BS_2017 (sheet 1), Nu_22137A_11_BS_2016 (sheet 1), Nu_22137A_12_BS_2017 (sheet 1) respectively.",Rectification done,NA,#VALUE!,2014-05-10,2014-07-07,2014-05-08,NULL,NULL,NULL,#VALUE!,#VALUE!
22137A-NCR-2,"During machining of Base Section Tier-2, Extension Shell Segment WEP, opening of SD5 Weld Edge Preparation (Single sided groove) is made on the inner side instead of outer side as mentioned in drawing. (Part No.2014 & 2015 of 22137A/7) (Part No. 2015 & 2016 of 22137A/8), (Part No. 2014 & 2015 of 22137A/9), (Part No. 2015 & 2016 of 22137A/10), (Part No. 2014 & 2015 of 22137A/11) and (Part No. 2015 & 2016 of 22137A/12) ",,OTHERS,Minor,Closed,Yes,Orientation of longseams to be changed as mentioned below accordingly part locations to be interchanged: > Sector 7 (0°-60°)         : 19° > Sector 8 (60°-120°)     : 79° > Sector 9 (120°-180°)   : 139° > Sector 10 (180°-240°) : 199° > Sector 11 (240°-300°) : 259° > Sector 12 (300°-360°) : 319°  Rolling to be carried out in order to meet above orientations.,Vendor,Vendor done machining of WEPs by misunderstanding of PCR prepared for WEP machining. PCR prepared considering internal requirement of shops.,Vendor Mistake,Separate sketch / drawing will be prepared if machining is required to be done by vendor. Internal PCR will not be issued to vendor.,Management,Regrade ( Accept Conditionally ),Yes,Acceptable,Rectification done,NA,#VALUE!,2014-06-10,2014-07-09,2014-05-31,NULL,NULL,NULL,#VALUE!,#VALUE!
22137A-NCR-3,"Deviation is found in Profile of ATM Side Sandwich Plate Assembly from drawingrequirements during final dimensional inspection of Sectors for Project Nos. 22137A-1, A-2, A-3, A-4, A-5 & A-6. RequiredProfile of ATM Side Sandwich Plate Assembly excluding seam location is 14mm and Required Profile Including Seamlocation is 21 UZ [ -3.5]mm. Actual Profile is as mentioned below.        (Project No:22137A-1, Profile Excuding Seam Location -34.12mm, Profile Including Seam Location-41.59),(Project No:22137A-2, Profile Excuding Seam Location -35.74mm, Profile Including Seam Location-46.55),(Project No:22137A-3, Profile Excuding Seam Location -34.91mm, Profile Including Seam Location-42.86),(Project No:22137A-4, Profile Excuding Seam Location -30.61mm, Profile Including Seam Location-34.16),(Project No:22137A-5, Profile Excuding Seam Location -38.73mm, Profile Including Seam Location-43.92) and (Project No:22137A-6, Profile Excuding Seam Location -29.75mm, Profile Including Seam Location-39.97)",Final Dimensional Inspection,NUCLEAR,Minor,Closed,No,Accept As it is.,Others,"Distortion due to welding.  The joint configuration is single side welding. Due to high amount of welding from only one side, major distortion is observed which has resulted in deviation from drawing requirement. Actual distortion is much more than planned.",Dimension Control Fabrication,Joint configuration and fabrication sequence to be re-designed to overcome the distortion problem. ,Management,Accept as it is,Yes,Acceptable in line with approved L&T DR No. 22137/CRYOSTAT/DR/100.,,NA,#VALUE!,2014-06-10,2014-06-10,2014-05-26,NULL,NULL,NULL,#VALUE!,#VALUE!
